Name,Stars,Short Comments,DatedText,Reviews,Helpfull
Nitin Basarikatti,5.0 out of 5 stars,Best from Himalaya,3 April 2018,One of the best,Helpful
Omkar Tiwari,4.0 out of 5 stars,Four Stars,23 July 2015,Nice face wash,Helpful
Suyash Gupta,5.0 out of 5 stars,Five Stars,29 November 2016,Great product,Helpful
Deepak Babu S J,5.0 out of 5 stars,Five Stars,7 August 2016,Awesome,Helpful
Priyanka patra,4.0 out of 5 stars,Satisfied,21 August 2018,No complaints,Helpful
Amazon Customer,4.0 out of 5 stars,Nc,16 August 2018,IT is very nc,Helpful
MANI NATHAN,4.0 out of 5 stars,Four Stars,11 October 2017,Good Expiry date from Aug/2017 till July/2020,Helpful
manjit singh,2.0 out of 5 stars,Bad,15 September 2017,Not as good as small one I think water proposition is more in it,Helpful
Deepak B.,4.0 out of 5 stars,Good Product. Pocket Friendly.,28 November 2015,Good Product. Pocket Friendly.,Helpful
Rakesh Bhatia,5.0 out of 5 stars,Five Stars,2 November 2017,Very good product and with very low price.,Helpful
M.Shivakumar,4.0 out of 5 stars,Four Stars,7 January 2017,Very good product,Helpful
Amazon customer,4.0 out of 5 stars,Four Stars,7 February 2018,Good,Helpful
PallabT,5.0 out of 5 stars,Good,27 June 2018,Good face wash....,Helpful
siv,2.0 out of 5 stars,Faulty cap & nob,17 November 2015,Cap & nob is not good  broke on 1st day of use,Helpful
mithilesh,5.0 out of 5 stars,Five Stars,21 February 2018,nice,Helpful
somalways,5.0 out of 5 stars,Five Stars,21 August 2016,Jamon hoi ar ki//,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,12 June 2018,good product,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,4 November 2017,good,Helpful
Ravi Kant,4.0 out of 5 stars,Four Stars,19 April 2015,very good,Helpful
Amazon Customer,4.0 out of 5 stars,...,5 September 2018,Nice product,Helpful
Niveditha,5.0 out of 5 stars,Good,9 August 2018,Nice product,Helpful
Rajnish kumar singh,4.0 out of 5 stars,Four Stars,4 September 2018,Nice,Helpful
Jay Singh,5.0 out of 5 stars,Good,18 August 2018,Good,Helpful
Sujoy mistry,4.0 out of 5 stars,Nice,6 October 2018,Nice,Helpful
Rais raza,3.0 out of 5 stars,Three Stars,7 March 2017,its ok,One person found this helpful
Ronnie,5.0 out of 5 stars,Good product,12 June 2015,Bought it for 130rs. Usual neem face wash. Happy about the purchase,Helpful
SHOEB,5.0 out of 5 stars,Nice,3 July 2018,Good product,Helpful
Preetam Singh,5.0 out of 5 stars,Five Stars,12 April 2018,Good,Helpful
Amazon Customer,3.0 out of 5 stars,Three Stars,23 August 2017,This is very nice product but some days pimple on the face,Helpful
jason pinto,3.0 out of 5 stars,Three Stars,12 January 2016,good,Helpful
Ashwini,5.0 out of 5 stars,superb product,2 May 2016,No product can replace himalaya neem face wash,One person found this helpful
Vaibhav niranjan,5.0 out of 5 stars,Five Stars,10 December 2017,Awesome product nice ....,Helpful
Pravin sahu,5.0 out of 5 stars,Five Stars,22 February 2018,nice product,Helpful
Dipayan,5.0 out of 5 stars,Good product for skin.,21 January 2015,This product is very good for skin and come with fare price.,Helpful
Amazon Customer,3.0 out of 5 stars,Three Stars,15 April 2017,Gud,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,19 July 2017,cleans your face gently,Helpful
Vikas soni,3.0 out of 5 stars,Three Stars,23 November 2017,Not for the dry skean,Helpful
Asha soni,1.0 out of 5 stars,One Star,17 August 2018,Fake item.,Helpful
Jhanvi,5.0 out of 5 stars,Effective product,13 September 2018,I liked it,Helpful
Pramod Kumar Upadhayay,5.0 out of 5 stars,Five Stars,24 December 2017,Must have for those who have pimples.,Helpful
adil shiddiqui,5.0 out of 5 stars,Five Stars,5 February 2018,Good price but make safety,Helpful
Ankush pandey,5.0 out of 5 stars,Nice product,28 September 2018,Very good product,Helpful
Phanibhusan Sahoo,5.0 out of 5 stars,Very good product,21 August 2018,Original product.,Helpful
Amazon Customer,4.0 out of 5 stars,Nice,23 October 2018,Good and original,Helpful
Abinash,4.0 out of 5 stars,Value for money,6 October 2018,Good value to buy,Helpful
Jai,4.0 out of 5 stars,Four Stars,23 May 2015,ok,Helpful
roo raj,5.0 out of 5 stars,nice,16 July 2018,cool offer!!,Helpful
SANJEEVAN DAS,5.0 out of 5 stars,Five Stars,24 June 2015,GOOD,Helpful
amit kayal,5.0 out of 5 stars,Awesome,3 August 2018,Very good,Helpful
som,5.0 out of 5 stars,Good product,14 October 2017,Good product with fast delivery.,Helpful
Shiva,5.0 out of 5 stars,Love u amazon...,23 August 2016,Nice one,Helpful
Jacintha A,5.0 out of 5 stars,Five Stars,15 June 2015,nci e,Helpful
Utkarsh jain,4.0 out of 5 stars,Four Stars,18 October 2017,Nice product in this price good amazion,Helpful
Amazon Customer,2.0 out of 5 stars,Two Stars,10 July 2018,Good,Helpful
Tarak Basak,5.0 out of 5 stars,Excellent,8 July 2018,Suppeeerrrrr,Helpful
vivek karnad,4.0 out of 5 stars,Four Stars,28 September 2015,Soap free facewash,Helpful
ziaur2k,5.0 out of 5 stars,Five Stars,20 April 2015,fine,Helpful
Kannappan,3.0 out of 5 stars,Ok product,24 July 2017,Good..But not great,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,4 July 2017,Delivered Amazing...?,Helpful
Zubin Islam,4.0 out of 5 stars,Four Stars,14 October 2014,good for acne prone skins.,Helpful
vishnu d dhaigude,5.0 out of 5 stars,Five Stars,4 February 2018,Nice like this face wash,Helpful
Aditya,3.0 out of 5 stars,product is good and helps to prevent acne and pimples,10 September 2016,product is good and helps to prevent acne and pimples. It is for all skin type users. I like it.,Helpful
Jigyasu Yadav,5.0 out of 5 stars,value for money,18 September 2018,value for money,Helpful
Amazon Customer,4.0 out of 5 stars,Nice,22 October 2018,Nice face wash.,Helpful
KHAN,1.0 out of 5 stars,Very,19 August 2018,No nice,Helpful
Rita,4.0 out of 5 stars,Four Stars,28 April 2017,I like the boxing of the product but it come before the time,Helpful
sambath Kumar.T,5.0 out of 5 stars,Five Stars,11 September 2017,Super,Helpful
Ashutosh yadav,3.0 out of 5 stars,Three Stars,13 October 2017,Good product ..,Helpful
Sunil,5.0 out of 5 stars,Five Stars,25 November 2015,i like the product. got it at a decent price.,Helpful
Gnanaprakash,5.0 out of 5 stars,Nice one,7 September 2018,Amazing product,Helpful
vinod kumar suniya,5.0 out of 5 stars,Five Stars,9 February 2018,i love it but price hi,Helpful
Juanella Colaco,5.0 out of 5 stars,Five Stars,3 August 2016,Very good product. Quick delivery.,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,23 September 2017,Nice recieved it early and happy,Helpful
SURENDRA KUMAR OJHA,5.0 out of 5 stars,Awesome,29 January 2018,Awesome quality,Helpful
Mishra G,1.0 out of 5 stars,One Star,4 January 2018,Pump not working..,Helpful
nasim,5.0 out of 5 stars,Five Stars,18 July 2017,Amazing product on amazon,Helpful
Praneeth,5.0 out of 5 stars,nice face wash,22 June 2017,nice face wash,Helpful
Lakshman keshri,4.0 out of 5 stars,Go for it,14 July 2018,Awesome product.,Helpful
Perveen Agarwal,1.0 out of 5 stars,One Star,26 January 2018,Not as per open market,Helpful
Anu shankar,5.0 out of 5 stars,Five Stars,12 February 2018,Nice product,Helpful
Gulam Nabi Azad,5.0 out of 5 stars,Nice,12 August 2018,Nice product,Helpful
Amazon Customer,5.0 out of 5 stars,hurry,1 October 2018,good product,Helpful
Pankaj jha,4.0 out of 5 stars,Nice product,6 October 2018,Nice product,Helpful
Salim sheikh,5.0 out of 5 stars,Five Stars,5 May 2017,Best product,One person found this helpful
priyaranjan mallick,5.0 out of 5 stars,nice product,11 September 2018,good,Helpful
awashes tiwari,5.0 out of 5 stars,Nice,8 October 2018,Good,Helpful
Harish,5.0 out of 5 stars,Good product,6 October 2018,Good,Helpful
saurabh sankhwar,1.0 out of 5 stars,Fake,15 September 2018,Fake,Helpful
09648636864,5.0 out of 5 stars,Nice,18 August 2018,Good,Helpful
Vijay Singh,4.0 out of 5 stars,Nothing to add,24 August 2018,Soso,Helpful
balwant Singh negi,5.0 out of 5 stars,Five Stars,7 September 2018,Best,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,5 July 2017,best face wash for oily and acne porne skin nd thnx amzn,Helpful
Swargo Bhattacharjee,5.0 out of 5 stars,Five Stars,31 December 2015,Good packing and original product.,Helpful
ANKITA MISHRA,4.0 out of 5 stars,Four Stars,18 September 2015,good,Helpful
Mr.deepak,5.0 out of 5 stars,This face wash is so good,12 October 2017,This face wash is so good,Helpful
amruta,5.0 out of 5 stars,Five Stars,1 February 2018,Nice facewash,Helpful
sanjeev,5.0 out of 5 stars,Five Stars,25 October 2017,Good been using for 3 days,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,1 December 2017,my favourite facewash,Helpful
Sanjay Kumar prasad,5.0 out of 5 stars,Five Stars,25 April 2018,Very good product,Helpful
Mahesh jogdankar,5.0 out of 5 stars,Five Stars,24 June 2017,Very good products,Helpful
Nazia,4.0 out of 5 stars,Four Stars,2 December 2015,One of the best product,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,21 April 2018,Very nice product,Helpful
Vijay,5.0 out of 5 stars,Five Stars,2 August 2016,Don't think ..go for it,One person found this helpful
Vanshika,3.0 out of 5 stars,Three Stars,7 February 2017,Knob is too tight it takes too much pressure to take out small amount of face wash,Helpful
Dheerendra,4.0 out of 5 stars,Four Stars,17 August 2017,Good,Helpful
prashanta,5.0 out of 5 stars,Five Stars,24 May 2018,Good product,Helpful
Avesh,5.0 out of 5 stars,Five Stars,18 January 2018,Nice prouduct,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,8 June 2017,good,One person found this helpful
TS,5.0 out of 5 stars,Great for acne-prone skin,12 November 2015,Awesome product. Undoes all your acne problems.,Helpful
Naushin fahmi,5.0 out of 5 stars,Five Stars,1 September 2015,Great deal,Helpful
Nizam Sandhi,5.0 out of 5 stars,Nehu,14 March 2018,Pimple clean products,Helpful
Ravi Ranjan Kumar,5.0 out of 5 stars,Good,13 January 2018,Good products,Helpful
Sweetie,5.0 out of 5 stars,Excellent,4 November 2015,Nice product....it is perfect for my skin.,Helpful
Soumendra kar,5.0 out of 5 stars,Next generation marketing,14 July 2016,Excellent product quality. Price and offer are competitive as well.,Helpful
Goutham K P,5.0 out of 5 stars,excellent,4 August 2016,Very good product.. with a fast delivery..,Helpful
Srasti shrivastava,5.0 out of 5 stars,NYC product,6 February 2018,Best deal,Helpful
RANA,5.0 out of 5 stars,great,27 August 2015,Gud,Helpful
Gautam Murarka,5.0 out of 5 stars,Five Stars,9 December 2015,Good Product,Helpful
RAMESH,5.0 out of 5 stars,Five Stars,13 November 2017,good product,Helpful
Amazon Customer,5.0 out of 5 stars,Why i bought it ...,31 May 2017,Super saver pack ?,Helpful
kaneez fatima,2.0 out of 5 stars,Two Stars,5 October 2015,good,Helpful
Pramod,5.0 out of 5 stars,Five Stars,3 May 2018,Good,Helpful
Joanna,5.0 out of 5 stars,Five Stars,8 December 2016,Perfect,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,14 September 2017,good,Helpful
Amazon Customer,5.0 out of 5 stars,I am happy ...,17 June 2017,100% original product ..great quality ...thanx amazon,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,13 July 2017,it is very good product. I love it,Helpful
gaurav pandey,5.0 out of 5 stars,Five Stars,12 August 2015,good,Helpful
Priyanka Adhikary,4.0 out of 5 stars,Four Stars,12 October 2017,Good reputable product,Helpful
Shravan,5.0 out of 5 stars,Five Stars,9 February 2018,Superb,Helpful
9849236790,5.0 out of 5 stars,Five Stars,27 March 2017,Good,Helpful
Vaibhav Garg,4.0 out of 5 stars,So So,14 April 2015,Product was good but i didint like the packaging.There was face wash coming out from the bottle.,Helpful
Arjun kumar,3.0 out of 5 stars,Naic product,18 April 2018,Naic product,Helpful
AYUSH KUMAR,1.0 out of 5 stars,One Star,19 November 2017,I am order two product but 1 is missing,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,6 April 2016,Very good product from Himalaya..this suits me a lot....no other brand suits me except Himalaya.,Helpful
kattzzy,5.0 out of 5 stars,Five Stars,6 November 2015,Tooo good,Helpful
shahid Khan,4.0 out of 5 stars,Four Stars,12 June 2018,Nice,Helpful
Chhotu,4.0 out of 5 stars,Maine 4 pice order kiya tha lekin box me 3 pice hi tha,19 September 2018,Like,Helpful
Anshuman,5.0 out of 5 stars,Nice,18 August 2018,Nice,Helpful
Aakash chauhan,5.0 out of 5 stars,Best,24 October 2018,Best,Helpful
Amazon Customer,4.0 out of 5 stars,Good pack,8 October 2018,Good,Helpful
GOUTAM DEY,5.0 out of 5 stars,Best,29 August 2018,Like,Helpful
dinesh khorwal,5.0 out of 5 stars,five star.........,17 August 2016,original product......./,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,23 November 2016,good offer.,Helpful
Vikash Chauhan,4.0 out of 5 stars,Four Stars,13 April 2016,good!,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,10 November 2017,Value for Money,Helpful
Abhishek Jain,5.0 out of 5 stars,Five Stars,28 May 2018,Nice product,Helpful
Amazon Customer,5.0 out of 5 stars,Bahut acha g.good me,27 March 2018,Bahut acha g good.me,Helpful
Bikash Agrawal,5.0 out of 5 stars,Five Stars,5 May 2018,Good,Helpful
Hemendra Trivedi,5.0 out of 5 stars,Five Stars,4 November 2016,Best product,Helpful
Anon,5.0 out of 5 stars,Gentle facewash at a gentle price!,17 June 2015,The product is amazing. Gives you smooth and clear skin naturally. Prompt delivery by Amazon. Value for money spent.,Helpful
deepika b.,4.0 out of 5 stars,Four Stars,1 June 2017,good product,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,22 January 2018,Good product,Helpful
Amazon Customer,1.0 out of 5 stars,Damaged products,27 December 2017,Damaged and cannot be returned.,Helpful
Bismi Fathima,5.0 out of 5 stars,Five Stars,18 July 2017,Best face wash for it price.,Helpful
Sanjib Kumar Chini,4.0 out of 5 stars,Very good...,26 October 2017,Very good product...,Helpful
Amazon,5.0 out of 5 stars,Five Stars,14 September 2015,good,Helpful
nikhat sayyed,5.0 out of 5 stars,Five Stars,21 October 2017,i loved it........ thumbs up :p,Helpful
Chetan Bhuva,5.0 out of 5 stars,Best,25 June 2018,Suparb,Helpful
kish,5.0 out of 5 stars,good,27 September 2015,Good pro,Helpful
Hitesh,4.0 out of 5 stars,Good Buy thanks amazon,17 March 2015,Nice quality product,Helpful
Naresh.N,5.0 out of 5 stars,I feel good. oil control and acne,9 November 2016,I had used for few daysI feel good.oil control and acne reducing,Helpful
SKD,3.0 out of 5 stars,Three Stars,14 October 2015,its ok,Helpful
Digvijay Sinh Chauhan,5.0 out of 5 stars,Loved It! Worth Of money,2 September 2015,Loved It! Worth Of money. Go for it.,Helpful
ashok bihal,5.0 out of 5 stars,Nice product,23 April 2018,Good for skin,Helpful
Nitin Patel,5.0 out of 5 stars,Five Stars,22 June 2017,Jordar product,Helpful
Anand K.,5.0 out of 5 stars,Good,27 June 2018,Good,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,10 October 2017,Awesome,Helpful
Amazon Customer,5.0 out of 5 stars,Good packing...,18 February 2018,Awesome product...,Helpful
Furkan Malek,4.0 out of 5 stars,Four Stars,1 February 2016,a good product for ladies and we need a lot of amount of this product to produce sufficient foam.,Helpful
Hoang,4.0 out of 5 stars,Four Stars,23 October 2017,Good!,Helpful
Amazon Customer,4.0 out of 5 stars,Good,4 October 2016,Suitable for my skin....good product.... must b a little bit cheaper,Helpful
Balaji,3.0 out of 5 stars,got pimples,3 March 2016,not suitable for my skin,Helpful
Zakir Hussain,5.0 out of 5 stars,Five Stars,8 May 2018,Good Offer,Helpful
Amazon Customer,3.0 out of 5 stars,vary bad..,28 May 2017,Cap of bottle was broken vary bad.....,Helpful
OM PRAKASH,3.0 out of 5 stars,Three Stars,25 December 2017,nice,Helpful
Subho,5.0 out of 5 stars,Five Stars,21 April 2018,Good,Helpful
Amazon Customer,4.0 out of 5 stars,Best for oily skin,22 May 2017,Good for oily skin nd pimples and fast delivery,Helpful
amit gavkare,2.0 out of 5 stars,Two Stars,23 January 2016,not as good as Nivea..,Helpful
Jagdish mevada,1.0 out of 5 stars,One Star,7 April 2018,Not satisfied,Helpful
VIRAT ANAND.,5.0 out of 5 stars,Five Stars,19 September 2017,Awesome.,Helpful
Baishakhi debnath,5.0 out of 5 stars,Five Stars,25 October 2017,Allows good,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,1 October 2017,Nice face wash,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,15 September 2016,too soapy.,One person found this helpful
arindam barman(Rocky),5.0 out of 5 stars,Five Stars,25 February 2018,,Helpful
sudip maiti,2.0 out of 5 stars,Two Stars,8 June 2018,Good,Helpful
serine,5.0 out of 5 stars,Five Stars,26 January 2016,Awesome!!!!! Its avoids pimples,Helpful
Amazon Customer,5.0 out of 5 stars,Use from last 3yrs useful,8 August 2017,As better then it is,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,1 January 2018,k,Helpful
aqrab khan,3.0 out of 5 stars,Three Stars,29 October 2017,Best face wash ever i use,Helpful
ARINDAM PAUL,5.0 out of 5 stars,Five Stars,10 April 2015,always use it,Helpful
